City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Kribi,CM,76.73,light rain,2.95,9.9167,Les Vagues bleues
266,Namatanai,PG,77.9,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
267,Piacabucu,BR,80.74,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
268,Lazaro Cardenas,MX,85.12,overcast clouds,17.9583,-102.2,quinta antigua
274,Sao Joao Da Barra,BR,80.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
278,Samarai,PG,78.04,overcast clouds,-10.6167,150.6667,Nuli Sapi
281,Manado,ID,76.87,overcast clouds,1.487,124.8455,Aryaduta Hotel
284,Axim,GH,77.52,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
285,Angoche,MZ,75.78,clear sky,-16.2325,39.9086,Guest House HESADA
290,Ca Mau,VN,76.77,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
294,Tautira,PF,77.54,few clouds,-17.7333,-149.15,Pension Oaoa
307,Karangampel,ID,79.14,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
310,Kati,ML,81.07,overcast clouds,12.7441,-8.0726,samassa la
311,Trincomalee,LK,81.72,scattered clouds,8.5711,81.2335,Welcombe Hotel
313,Yarada,IN,82.83,overcast clouds,17.65,83.2667,Jeevan
314,Jibuti,DJ,83.21,few clouds,11.5,42.5,Orchid Main Camp Goubet
315,San Cristobal,VE,75.79,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
316,Fare,PF,78.24,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
317,Ranong,TH,77.74,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
324,Hambantota,LK,79.95,few clouds,6.1241,81.1185,Bungalow 63
329,Kavieng,PG,80.87,light rain,-2.5744,150.7967,Nusa Island Retreat
330,Banda Aceh,ID,79.83,overcast clouds,5.5577,95.3222,Sulthan Hotel International
334,Labuan,MY,78.75,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
337,Kalianget,ID,81.12,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
338,Sur,OM,87.82,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
345,Ahuimanu,US,78.78,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
