City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tessalit,ML,20.1986,1.0114,98.42,7,7,8.19,clear sky
79,Kangalassy,RU,62.3464,129.9628,32.65,90,3,4.52,clear sky
80,Adrar,MR,20.5022,-10.0711,100.81,11,4,16.44,clear sky
81,Nantucket,US,41.2835,-70.0995,75.61,87,78,10.87,broken clouds
82,Busselton,AU,-33.65,115.3333,49.08,72,0,4.52,clear sky
83,Qasigiannguit,GL,68.8193,-51.1922,28.87,91,92,1.74,light snow
84,Maumere,ID,-8.6199,122.2111,78.26,71,91,2.93,overcast clouds
85,Aklavik,CA,68.2191,-135.0107,32.77,94,100,12.82,light snow
86,Amapa,BR,1.0,-52.0,87.48,55,76,3.87,broken clouds
87,Broome,US,42.2506,-75.833,74.19,63,93,1.99,overcast clouds
88,Kavaratti,IN,10.5669,72.642,81.54,79,11,15.08,few clouds
89,Fairmont,US,39.4851,-80.1426,80.04,68,100,0.6,overcast clouds
90,Cape Town,ZA,-33.9258,18.4232,58.87,72,1,4.0,clear sky
91,Jacareacanga,BR,-6.2222,-57.7528,104.38,21,97,2.8,overcast clouds
92,Rincon,US,32.296,-81.2354,84.9,83,91,3.15,overcast clouds
93,Adjumani,UG,3.3779,31.7909,68.02,95,64,1.41,light rain
94,Maxixe,MZ,-23.8597,35.3472,69.73,83,25,14.52,scattered clouds
95,Pemagatsel,BT,27.0319,91.4266,59.79,95,50,3.42,scattered clouds
96,Surt,LY,31.2089,16.5887,83.48,65,0,14.32,clear sky
97,Marawi,PH,7.9986,124.2928,65.64,94,99,3.09,overcast clouds
98,Okhotsk,RU,59.3833,143.3,44.64,63,91,9.71,overcast clouds
99,Yar-Sale,RU,66.8333,70.8333,36.14,85,100,13.09,overcast clouds
100,Sinnamary,GF,5.3833,-52.95,84.92,67,37,11.05,scattered clouds
101,Susurluk,TR,39.9136,28.1578,64.47,83,64,8.99,broken clouds
102,Amasia,TR,40.6533,35.8331,68.14,82,97,6.42,overcast clouds
103,Cidreira,BR,-30.1811,-50.2056,62.35,64,90,20.18,overcast clouds
104,Lata,PT,40.1629,-8.3327,75.04,33,0,8.57,clear sky
105,Lavrentiya,RU,65.5833,-171.0,31.39,69,88,7.47,overcast clouds
106,Nogliki,RU,51.8333,143.1667,45.1,78,81,10.58,broken clouds
107,Witbank,ZA,-25.8713,29.2332,54.41,71,0,20.07,clear sky
108,Jamestown,US,42.097,-79.2353,75.02,59,100,8.01,overcast clouds
109,Carnarvon,AU,-24.8667,113.6333,70.36,49,0,10.63,clear sky
110,Katsuura,JP,35.1333,140.3,74.21,89,97,1.52,overcast clouds
111,Castro,BR,-24.7911,-50.0119,90.07,28,17,9.53,few clouds
112,Barabinsk,RU,55.3571,78.357,35.37,96,100,9.31,overcast clouds
113,Port Blair,IN,11.6667,92.75,79.86,81,99,13.8,overcast clouds
114,Erenhot,CN,43.6475,111.9767,60.1,50,0,8.66,clear sky
115,Zabid,YE,14.1951,43.3152,94.82,44,60,6.24,broken clouds
116,Asyut,EG,27.181,31.1837,92.66,18,0,14.92,clear sky
117,La Ronge,CA,55.1001,-105.2842,55.26,56,80,8.61,broken clouds
118,Klaksvik,FO,62.2266,-6.589,54.82,94,100,41.88,overcast clouds
119,Padang,ID,-0.9492,100.3543,77.18,85,100,3.62,overcast clouds
120,Ilulissat,GL,69.2167,-51.1,28.54,84,94,0.89,overcast clouds
121,Walvis Bay,NA,-22.9575,14.5053,53.1,78,19,4.68,few clouds
122,Dali,CN,25.7,100.1833,60.44,90,99,3.31,overcast clouds
123,Aswan,EG,24.0934,32.907,97.11,12,5,7.74,clear sky
124,Arraial Do Cabo,BR,-22.9661,-42.0278,73.99,84,13,22.75,few clouds
125,Tiznit,MA,29.5833,-9.5,66.47,75,41,7.92,scattered clouds
126,Hithadhoo,MV,-0.6,73.0833,83.44,75,81,16.4,broken clouds
127,Verkhnetulomskiy,RU,68.6073,31.7962,33.69,86,16,5.84,few clouds
128,Sardinata,CO,8.0829,-72.8007,89.29,55,86,3.78,overcast clouds
129,Aksu,CN,41.1231,80.2644,73.2,21,0,4.9,clear sky
130,San Policarpo,PH,12.1791,125.5072,81.57,81,81,8.37,broken clouds
131,East London,ZA,-33.0153,27.9116,61.77,56,99,5.55,overcast clouds
132,Chake Chake,TZ,-5.2459,39.7666,74.82,84,0,8.7,clear sky
133,Progreso,MX,21.2833,-89.6667,92.1,67,26,14.29,scattered clouds
134,Labuhan,ID,-6.8844,112.2051,79.07,80,100,5.35,overcast clouds
135,Khatanga,RU,71.9667,102.5,30.04,95,100,10.89,overcast clouds
136,Longyearbyen,SJ,78.2186,15.6401,42.44,96,100,4.97,light rain
137,Baiyin,CN,36.5583,104.2081,65.17,49,81,5.82,broken clouds
138,Darnah,LY,32.767,22.6367,79.63,73,0,10.83,clear sky
139,Agadez,NE,19.75,10.25,89.42,11,100,5.77,overcast clouds
140,Chernyanka,RU,50.9409,37.8069,47.79,85,96,5.59,overcast clouds
141,Mahebourg,MU,-20.4081,57.7,70.25,66,29,12.82,scattered clouds
142,Guane,CU,22.2025,-84.0875,92.37,50,91,7.94,overcast clouds
143,Adre,TD,13.4667,22.2,82.45,47,100,3.2,overcast clouds
144,Irbit,RU,57.6705,63.071,36.36,85,86,5.1,overcast clouds
145,Port Alfred,ZA,-33.5906,26.891,58.51,72,96,3.65,overcast clouds
146,Porosozero,RU,62.7191,32.727,35.49,84,96,4.14,overcast clouds
147,Buta,CD,2.7858,24.73,73.02,90,100,2.55,overcast clouds
148,San Juan Del Sur,NI,11.2529,-85.8705,83.37,73,79,16.13,broken clouds
149,Shirokiy,RU,49.758,129.523,50.13,81,100,7.81,overcast clouds
150,Codrington,AU,-38.2667,141.9667,51.17,92,98,8.61,overcast clouds
151,Kapaa,US,22.0752,-159.319,77.47,59,19,5.01,light rain
152,Lorengau,PG,-2.0226,147.2712,80.22,79,100,5.01,overcast clouds
153,Rocha,UY,-34.4833,-54.3333,56.57,67,1,14.65,clear sky
154,Sao Filipe,CV,14.8961,-24.4956,81.95,75,52,7.14,broken clouds
